"","NAME_0","NAME_1","codes","temp_mean","agri_gc_mean","barren_gc_mean","ttime_mean_mean","urban_gc_mean","cmr_mean_mean","imr_mean_mean","Battles","Riots","Protests","Armed.clash","Violence.against.civilians","Abduction.forced.disappearance","Attack","Sexual.violence","Mob.violence","Violent.demonstration","Excessive.force.against.protesters","Peaceful.protest","Protest.with.intervention","fatalities","area_km_2","road_length_km","road_density","Homicide_mean","Population_mean","Rate_mean","Homicide_obs","Rate_obs","Population_obs","capital_name","country_capital","capital_coordinates","distance_capital"
"234","Mexico","Querétaro","MEX_unsalb",17.8399095275701,9.132974,0.00154321,150.088218333333,0.11934156,7.5,314.325225,0,0,7,0,0,0,0,0,0,0,0,7,0,0,11690.5827227453,1288.9162691995,0.110252525452967,172.4,2155300.8,7.99888349691143,5,5,5,"Querétaro",0,"c(-100.397515, 20.60185)",182.608030586862
"235","Mexico","Colima","MEX_unsalb",24.3356573335584,7.32623404,0.010802474,326.982046,0.029012342,7.5,272.393775,4,0,7,4,22,0,22,0,0,0,0,7,0,19,5782.09452464809,476.249922062221,0.0823663328283632,607.2,747427.4,81.2386594336788,5,5,5,"Colima",0,"c(-103.629722222222, 19.0972225)",473.24012419541
"236","Mexico","Morelos","MEX_unsalb",22.3945303361772,16.6039091666667,0.00462963,124.436901666667,2.57973285,7.5,270.300916666667,4,3,23,4,29,1,27,1,2,1,0,23,0,39,4878.89839585244,697.612225374636,0.142985602235061,715,1977252.6,36.1612876371992,5,5,5,"Cuernavaca",0,"c(-99.2275011111111, 18.9244436111111)",59.3625445631063
"237","Mexico","Coahuila de Zaragoza","MEX_unsalb",20.7292584818957,10.3106462680519,0.0178370968831169,228.103058831169,0.0651755719480519,7.5,239.661312077922,1,2,19,1,4,0,4,0,1,1,0,19,0,5,151593.470904252,15314.3896627607,0.101022752308597,266.4,3087826,8.62742913622724,5,5,5,"Saltillo",0,"c(-100.999444166667, 25.4194438888889)",687.56004737549
"238","Mexico","Hidalgo","MEX_unsalb",17.1991001388862,22.8499244375,0.0019290124375,146.951768125,0.12017745125,7.5,315.19574375,2,6,35,2,13,2,11,0,2,4,0,35,0,21,20821.4441062357,2185.40477465369,0.10495932767695,222,2976041.6,7.45957314575173,5,5,5,"Pachuca",0,"c(-98.7502791666667, 20.1197219444444)",84.3548160768846
"239","Mexico","Tlaxcala","MEX_unsalb",14.2209529594421,11.2021608333333,0.00514403333333333,98.3254183333333,0.243827123333333,7.5,271.527766666667,0,0,5,0,1,0,1,0,0,0,0,5,0,2,3996.63418638734,402.10333401569,0.100610492545269,115.2,1330612,8.65767030509269,5,5,5,"Tlaxcala",0,"c(-98.2313888888889, 19.3138877777778)",97.0578861381359
"240","Mexico","Campeche","MEX_unsalb",26.9799105429814,6.372202928125,0.00327932125,393.774325,0.0035686728125,7.5,293.26937037037,0,5,18,0,5,0,5,0,5,0,0,18,0,2,57509.5839203266,3826.71840067535,0.0665405335913551,72.2,950418.2,7.59665587212029,5,5,5,"San Francisco de Campeche",0,"c(-90.534689, 19.842517)",903.773077391465
"241","Mexico","Chiapas","MEX_unsalb",22.8581128861322,20.7319685263158,0.00430474368421053,337.755677894737,0.0116959060526316,8.93134121052632,337.869036842105,0,4,22,0,9,1,8,0,2,2,0,21,1,10,73306.55727878,6059.68104788784,0.0826621965732653,537.2,5478503.2,9.80559799618261,5,5,5,"Tuxtla Gutiérrez",0,"c(-93.113091, 16.74994)",704.887483064231
"242","Mexico","Michoacán de Ocampo","MEX_unsalb",21.2821450094505,10.9657064277778,0.000257201666666667,177.133351111111,0.0601851830555556,7.5,305.305327777778,19,5,68,19,65,0,65,0,3,2,0,67,1,91,58596.6781325246,5372.25946617384,0.091681979890118,1514,4720173.6,32.0750914754491,5,5,5,"Morelia",0,"c(-101.185833055556, 19.7016672222222)",216.0402832503
"243","Mexico","Distrito Federal","MEX_unsalb",13.1796528044793,8.61111166666667,0.0123456796666667,102.530363333333,5.38271663333333,7.5,227.870366666667,5,13,135,5,26,0,26,0,6,7,0,134,1,33,1494.59134160622,268.223485366159,0.179462758748423,947.777777777778,9048649.33333333,10.4742458555263,9,9,9,"Mexico City",1,"c(-99.1433325, 19.4547219444444)",0
